Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
if (accountNumber == line[4] && financeAccountNumber == line1[4] && depositAccountNumber == line2[4]),,,,2023-03-06 16:26:43,2023-03-06 16:26:43,0.004s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:26:43,2023-03-06 16:26:50,6.578s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-06 16:26:50,2023-03-06 16:26:50,0.001s,PASSED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-03-06 16:26:50,2023-03-06 16:28:40,1m - 50.216s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 16:26:50,2023-03-06 16:26:50,0.001s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 16:26:51,2023-03-06 16:27:20,28.954s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-03-06 16:27:20,2023-03-06 16:27:21,0.986s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-03-06 16:27:21,2023-03-06 16:27:23,2.206s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-03-06 16:27:23,2023-03-06 16:27:25,1.636s,PASSED
delay(2),,,,2023-03-06 16:27:25,2023-03-06 16:27:27,2.018s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-03-06 16:27:27,2023-03-06 16:27:28,0.526s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-03-06 16:27:28,2023-03-06 16:27:33,5.226s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-03-06 16:27:33,2023-03-06 16:27:38,5.009s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], OPTIONAL)",,,,2023-03-06 16:27:38,2023-03-06 16:27:39,1.011s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-03-06 16:27:39,2023-03-06 16:27:39,0.398s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-03-06 16:27:39,2023-03-06 16:27:40,1.132s,PASSED
pressBack(),,,,2023-03-06 16:27:40,2023-03-06 16:27:41,0.711s,PASSED
"if (biller == ""Salik"")",,,,2023-03-06 16:27:41,2023-03-06 16:27:41,0.001s,PASSED
takeScreenshot(),,,,2023-03-06 16:27:41,2023-03-06 16:27:42,0.846s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Button_Next""), 0)",,,,2023-03-06 16:27:42,2023-03-06 16:27:43,1.071s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Amount/Text Box_Amount Entry""), 0, OPTIONAL)",,,,2023-03-06 16:27:43,2023-03-06 16:27:48,4.946s,PASSED
due = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2023-03-06 16:27:48,2023-03-06 16:27:48,0.000s,PASSED
"if (paymentType.equals(""partial""))",,,,2023-03-06 16:27:48,2023-03-06 16:27:50,1.723s,PASSED
takeScreenshot(),,,,2023-03-06 16:27:50,2023-03-06 16:27:50,0.694s,PASSED
"tap(findTestObject(""3.Payments/Amount/Button_Next""), 2, OPTIONAL)",,,,2023-03-06 16:27:50,2023-03-06 16:27:52,1.303s,PASSED
"waitForElementPresent(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:27:52,2023-03-06 16:27:52,0.262s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Confirm""), 0)",,,,2023-03-06 16:27:52,2023-03-06 16:27:52,0.386s,PASSED
delay(5),,,,2023-03-06 16:27:52,2023-03-06 16:27:57,5.022s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_mPIN""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:27:57,2023-03-06 16:28:02,4.776s,PASSED
"tap(findTestObject(""3.Payments/Payment Confirmation Page/Button_Verify""), 0)",,,,2023-03-06 16:28:02,2023-03-06 16:28:02,0.391s,PASSED
delay(5),,,,2023-03-06 16:28:02,2023-03-06 16:28:07,5.015s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], STOP_ON_FAILURE)",,,,2023-03-06 16:28:07,2023-03-06 16:28:14,6.083s,PASSED
"tap(findTestObject(""4.Transfers/Button_VerifyOTP""), 0)",,,,2023-03-06 16:28:14,2023-03-06 16:28:14,0.921s,PASSED
