Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BS_Demo,,,,2023-03-06 15:32:23,2023-03-06 15:47:06,14m - 42.242s,FAILED
,,,,,,,
Test Cases/Registration/TC 01 - Registration with Card,,,,2023-03-06 15:32:24,2023-03-06 15:34:51,2m - 27.569s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-06 15:32:24,2023-03-06 15:32:24,0.029s,PASSED
"startExistingApplication(""com.cbt.ajmandigital"", CONTINUE_ON_FAILURE)",,,,2023-03-06 15:32:26,2023-03-06 15:32:56,30.470s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 60)",,,,2023-03-06 15:32:56,2023-03-06 15:33:56,1m - 0.237s,PASSED
"tap(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-03-06 15:33:56,2023-03-06 15:33:57,0.467s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-03-06 15:33:57,2023-03-06 15:33:58,1.335s,PASSED
"if (cardType.equals(""Debit Card""))",,,,2023-03-06 15:33:58,2023-03-06 15:33:59,0.909s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Number""), cardNumber, 0)",,,,2023-03-06 15:33:59,2023-03-06 15:34:00,0.583s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), cardPin, 0)",,,,2023-03-06 15:34:00,2023-03-06 15:34:01,1.503s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-03-06 15:34:01,2023-03-06 15:34:03,2.136s,PASSED
takeScreenshot(),,,,2023-03-06 15:34:03,2023-03-06 15:34:05,1.755s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Button_Next on Card details""), 0)",,,,2023-03-06 15:34:05,2023-03-06 15:34:06,0.937s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/OTP Page/label_Enter OTP""), 0)",,,,2023-03-06 15:34:06,2023-03-06 15:34:17,11.440s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-06 15:34:17,2023-03-06 15:34:26,8.201s,PASSED
"tap(findTestObject(""1.Registration and Login/OTP Page/Button_Verify OTP""), 0)",,,,2023-03-06 15:34:26,2023-03-06 15:34:27,1.278s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-03-06 15:34:27,2023-03-06 15:34:32,5.018s,PASSED
